SpeciesName,Genus,Family,Order,Authority,Year,TaxonomicReview,N_authors,N.Countries,Log10BodyMass_g,SppRichPerGenus,Morphometrics,Osteology,Dentition,InternalAnatomy,ShapeDescription,Trichology,Coloration,Karyotype,Molecular,MolMethod,N.Genes,N.Specimens,TaxaComparedExamined,TaxaCompared,N.Pages,N_evidencesI,N_evidencesII
Crocidura huangshanensis,Crocidura,Soricidae,Eulipotyphla,"Yang, Zhang, & Li, 2020",2020,0,3,1,0.761175813155731,,8,24,1,0,0,0,1,0,1,mtDNA,1,5,2,18,8.75,35,5
Crocidura makeda,Crocidura,Soricidae,Eulipotyphla,"Konečný, Hutterer, Meheretu, & Bryja, 2020",2020,0,4,3,1.02118929906994,201,4,15,1,0,0,0,1,0,1,mtDNA,1,75,9,11,4.25,22,5
Crocidura similiturba,Crocidura,Soricidae,Eulipotyphla,"Konečný, Hutterer, Meheretu, & Bryja, 2020",2020,0,4,3,1.32221929473392,201,4,15,1,0,0,0,1,0,1,mtDNA,1,3,9,6,4.25,22,5
Ctenomys bidaui,Ctenomys,Ctenomyidae,Rodentia,"Teta & D'Elía, 2020",2020,0,2,2,2.21748394421391,65,4,16,1,0,0,0,1,1,1,mtDNA,1,6,6,7,5.75,24,6
Ctenomys contrerasi,Ctenomys,Ctenomyidae,Rodentia,"Teta & D'Elía, 2020",2020,0,2,2,1.93951925261862,65,4,16,1,0,0,0,1,1,1,mtDNA,1,12,6,7,5.75,24,6
Ctenomys thalesi,Ctenomys,Ctenomyidae,Rodentia,"Teta & D'Elía, 2020",2020,0,2,2,1.98227123303957,65,4,16,1,0,0,0,1,1,1,mtDNA,1,7,6,7,5.75,24,6
Geoxus lafkenche,Geoxus,Cricetidae,Rodentia,"Teta & D'Elía, 2016",2016,0,2,2,,3,4,20,1,0,1,0,1,0,1,mtDNA,1,2,2,3,6.7,28,6
Hylomyscus mpungamachagorum,Hylomyscus,Muridae,Rodentia,"Demos, Hutterer, & Kerbis Peterhans, 2020",2020,0,3,2,1.31175386105575,21,5,16,1,0,0,0,1,0,1,mtDNA,1,12,12,7,4.75,24,5
Hylomyscus pygmaeus,Hylomyscus,Muridae,Rodentia,"Kerbis Peterhans, Hutterer, & Demos, 2020",2020,0,3,2,0.763427993562937,21,5,16,1,0,0,0,1,0,1,mtDNA,1,1,12,7,4.75,24,5
Hylomyscus stanleyi,Hylomyscus,Muridae,Rodentia,"Kerbis Peterhans, Hutterer, & Demos, 2020",2020,0,3,2,1.46239799789896,21,5,16,1,0,0,0,1,0,1,mtDNA,1,33,12,7,4.75,24,5
Hylomyscus thornesmithae,Hylomyscus,Muridae,Rodentia,"Kerbis Peterhans, Hutterer, & Demos, 2020",2020,0,3,2,1.17609125905568,21,5,16,1,0,0,0,1,0,1,mtDNA,1,5,12,7,4.75,24,5
Ichthyomys pinei,Ichthyomys,Cricetidae,Rodentia,"de CÃ³rdova, Nivelo-Villavicencio, Reyes-Puig, PardiÃ±as, & Brito",2019,0,5,2,,4,3,13,1,1,1,0,1,0,0,,0,2,8,3,9.4,20,6
Laephotis kirinyaga,Laephotis,Vespertilionidae,Chiroptera,"Monadjem, B. D. Patterson, Webala, & Demos, 2020",2020,1,4,4,0.672097857935718,8,5,13,1,0,1,0,1,0,1,mtDNA,1,13,19,5,5.8125,22,6
Lasiurus arequipae,Lasiurus,Vespertilionidae,Chiroptera,"MÃ¡laga, D. R. DÃ­az, Arias, & Medina",2020,0,4,1,1.11394335230684,11,4,13,1,0,1,0,1,0,1,mtDNA,1,3,4,16,10.5,21,6
Marmosops marina,Marmosops,Didelphidae,Didelphimorphia,"Ferreira, Mendes-Oliveira, Lima-Silva, & R. V. Rossi, 2020",2020,1,4,1,1.41497334797082,20,4,28,1,0,1,0,1,0,0,,0,345,3,3,8.25,35,5
Microcebus jonahi,Microcebus,Cheirogaleidae,Primates,"Schüßler, Blanco, Salmona, Poelstra, Andriambeloson, A. Miller, Randrianambinina, Rasolofoson, Mantilla-Contreras, Chikhi, Louis, Yoder, & Radespiel, 2020",2020,0,13,5,1.81954393554187,24,12,0,0,0,1,0,1,0,0,,0,25,4,3,7.5,14,3
Micronycteris simmonsae,Micronycteris,Phyllostomidae,Chiroptera,"Siles & R. J. Baker, 2020",2020,1,2,1,0.770852011642144,12,9,9,1,0,0,0,1,1,1,MultiLoci,4,4,11,6,2.65,25,6
Micronycteris tresamici,Micronycteris,Phyllostomidae,Chiroptera,"Siles & R. J. Baker, 2020",2020,1,2,1,0.732393759822969,12,9,9,1,0,0,0,1,1,1,MultiLoci,3,5,11,6,2.65,24,6
Miniopterus wilsoni,Miniopterus,Miniopteridae,Chiroptera,"Monadjem, Guyton, Naskrecki, L. R. Richards, Kropff, & Dalton",2020,0,6,4,0.89209460269048,39,3,16,1,0,1,0,1,0,1,mtDNA,2,10,6,17,8.25,24,6
Murina jinchui,Murina,Vespertilionidae,Chiroptera,"Yu Wenhua, Csorba, & Wu Yi",2020,0,3,1,,39,5,14,1,0,1,0,1,0,1,MultiLoci,2,6,17,15,6,24,6
Myotis armiensis,Myotis,Vespertilionidae,Chiroptera,CarriÃ³n-Bonilla & Cook,2020,0,2,2,,131,2,16,1,0,1,0,1,0,1,MultiLoci,6,16,12,10,2.25,27,6
Neacomys marajoara,Neacomys,Cricetidae,Rodentia,"Semedo, M. N. F. Silva, Gutiérrez, Ferreira, Nunes, Mendes-Oliveira, Farias, & R. V. Rossi, 2020",2020,0,8,1,,15,5,21,1,0,1,0,1,1,1,mtDNA,1,10,4,4,10,31,7
Neacomys vossi,Neacomys,Cricetidae,Rodentia,"Semedo, M. N. F. Silva, Gutiérrez, Ferreira, Nunes, Mendes-Oliveira, Farias, & R. V. Rossi, 2020",2020,0,8,1,,15,5,21,1,0,1,0,1,1,1,mtDNA,1,24,4,4,10,31,7
Neacomys xingu,Neacomys,Cricetidae,Rodentia,"Semedo, M. N. F. Silva, Gutiérrez, Ferreira, Nunes, Mendes-Oliveira, Farias, & R. V. Rossi, 2020",2020,0,8,1,,15,5,21,1,0,1,0,1,1,1,mtDNA,1,22,4,4,10,31,7
Niviventer fengi,Niviventer,Muridae,Rodentia,"Ge Deyan, FeijÃ³, & Yang Qisen in Deyan Ge, FeijÃ³, Abramov, Wen Zhixin, Liu Zhengjia, Cheng Jilong, Xia Lin, Lu Liang, & Yang Qisen",2020,1,3,3,1.67209785793572,23,3,16,1,0,1,0,1,0,1,mtDNA,4,12,4,0,15.75,26,6
Notiosorex tataticuli,Notiosorex,Soricidae,Eulipotyphla,"Camargo & Álvarez-Castañeda, 2020",2020,0,2,1,,4,0,22,1,0,0,0,1,0,1,mtDNA,3,47,5,4,2.83,27,4
Octodon ricardojeda,Octodon,Octodontidae,Rodentia,"D'ElÃ­a, Teta, Verzi, Cadenilla, & Patton",2020,0,5,3,2.29003461136252,4,4,13,1,0,1,0,1,0,1,MultiLoci,2,20,4,1,10.4,22,6
Pattonimus ecominga,Pattonimus,Cricetidae,Rodentia,"Brito, C. Koch, Percequillo, Tinoco, Weksler, C. M. Pinto, & Pardiñas, 2020",2020,0,7,4,1.25527250510331,1,7,32,1,1,1,0,1,0,1,MultiLoci,2,22,9,3,15.625,45,7
Pattonimus musseri,Pattonimus,Cricetidae,Rodentia,"Brito, C. Koch, Percequillo, Tinoco, Weksler, C. M. Pinto, & Pardiñas, 2020",2020,0,7,4,1.77085201164214,1,7,32,1,0,1,0,1,0,1,MultiLoci,2,4,9,3,15.625,44,6
Peromyscus purepechus,Peromyscus,Cricetidae,Rodentia,"LÃ©on-Tapia, FernÃ¡ndez, Rico, Cervantes, & Espinosa de los Monteros",2020,0,5,1,,79,4,21,1,0,1,0,1,0,1,mtDNA,1,5,40,11,11.35,29,6
Pipistrellus simandouensis,Pipistrellus,Vespertilionidae,Chiroptera,"Monadjem, L. R. Richards, Decher, & Hutterer in Monadjem, L. R. Richards, Decher, Hutterer, Mamba, Guyton, Naskrecki, Markotter, Wipfler, Kropff, & Dalton",2020,0,4,5,,32,5,13,1,0,1,0,1,0,0,,0,4,6,7,14.5,21,5
Pseudoromicia kityoi,Pseudoromicia,Vespertilionidae,Chiroptera,"Monadjem, Kerbis Peterhans, Nalikka, Waswa, Demos, & B. D. Patterson, 2020",2020,1,6,3,0.897627091290442,6,5,13,1,0,1,0,1,0,1,mtDNA,1,2,19,5,5.8125,22,6
Pseudoromicia nyanza,Pseudoromicia,Vespertilionidae,Chiroptera,"Monadjem, B. D. Patterson, Webala, & Demos, 2020",2020,1,4,4,0.919078092376074,6,5,13,1,0,1,0,1,0,1,mtDNA,1,16,19,6,5.8125,22,6
Rhipidomys ochoagrateroli,Rhipidomys,Cricetidae,Rodentia,"F. J. GarcÃ­a, Almeida, Machado, Delgado-Jaramillo, Araujo-Reyes, VÃ¡squez-Parra, & FlÃ³rez",2020,0,7,2,1.90848501887865,24,3,24,1,0,1,0,1,0,0,,0,9,11,11,11.7,30,5
Sorex cruzi,Sorex,Soricidae,Eulipotyphla,"Andino-Madrid, Colindres, Pérez-Consuegra, & Matson, 2020",2020,0,4,3,,88,5,17,1,0,0,0,1,0,0,,0,2,4,3,8.25,24,4
Stenocephalemys sokolovi,Stenocephalemys,Muridae,Rodentia,"Lavrenchenko & Bryja, 2020",2020,1,2,2,1.90848501887865,5,4,1,0,0,0,0,1,1,1,DNABarcode,0,76,5,5,2.45,7,5
Stenocephalemys zimai,Stenocephalemys,Muridae,Rodentia,"Lavrenchenko & Bryja, 2020",2020,1,2,2,1.95904139232109,5,4,1,0,0,0,0,1,1,1,DNABarcode,0,49,5,5,2.45,7,5
Trachypithecus popa,Trachypithecus,Cercopithecidae,Primates,"Roos, K. M. Helgen, Miguez, Naw May Lay Thant, Ngwe Lwin, Aung Ko Lin, Aung Lin, Khin Mar Yi, Paing Soe, Zin Mar Hein, Myint, Ahmed, Chetry, Urh, Veatch, Duncan, Kamminga, Chua, Yao Lu, Matauschek, D. Meyer, Liu Zhijin, Li Ming, Nadler, Fan Pengfei, Le Khac Quyet, Hofreiter, Zinner, & Momberg, 2020",2020,0,29,11,0.897627091290442,21,4,18,1,0,0,0,1,0,1,Mitogenome,0,11,1,2,6,24,5
Typhlomys huangshanensis,Typhlomys,Platacanthomyidae,Rodentia,"Hu Tingli & Zhang Baowei in Hu Tingli, Cheng Feng, Xu Zhen, Chen Zhongzheng, Yu Lei, Ban Qian, Li Chunlin, Pan Tao, & Zhang Baowei",2020,0,2,2,1.3096301674259,4,3,11,1,0,1,0,1,0,1,mtDNA,3,5,5,3,4.25,20,6
Apodemus nigrus,Apodemus,Muridae,Rodentia,"Ge Deyan, Feijó, & Yang Qisen in Ge Deyan, Feijó, Cheng Jilong, Lu Liang, Liu Rongrong, Abramov, Xia Lin, Wen Zhixin, Zhang Wieyong, Shi Lei, & Yang Qisen",2019,0,3,3,,21,3,18,1,0,1,0,1,0,1,mtDNA,2,142,6,6,6.1,26,6
Barbastella pacifica,Barbastella,Vespertilionidae,Chiroptera,"Kruskop, Kawai, & Tiunov",2019,0,3,2,,5,1,18,1,0,1,0,1,0,1,"DNABarcode, mtDNA",3,24,6,5,9,25,6
Berardius minimus,Berardius,Ziphiidae,Artiodactyla,"Yamada, Kitamura, S. Abe, Tajima, Matsuda, Mead, & Matsuishi, 2019",2019,0,7,2,,2,18,45,1,0,1,0,1,0,1,mtDNA,1,5,,5,7.75,67,6
Biswamoyopterus gaoligongensis,Biswamoyopterus,Sciuridae,Rodentia,"Li Quan, Li Xueyou, S. M. Jackson, Li Fei, Jiang Ming, Zhao Wei, Song Wenyu, & Jiang Xuelong",2019,0,8,2,3.13672056715641,2,3,28,1,0,1,0,1,0,0,,0,2,2,2,9,34,5
Brucepattersonius nebulosus,Brucepattersonius,Cricetidae,Rodentia,"Abreu-Júnior & Percequillo, 2019",2019,0,2,1,,3,6,25,1,0,1,0,1,1,1,mtDNA,1,9,31,7,3.4,36,7
Chaeropus yirratji,Chaeropus,Chaeropodidae,Peramelemorphia,"Travouillon, Simões, Miguez, Brace, Brewer, Stemmer, Price, Cramb, & Louys, 2019",2019,0,9,2,,1,3,67,1,0,0,0,1,0,1,mtDNA,2,20,2,2,12.8333,74,5
Chaetodipus durangae,Chaetodipus,Heteromyidae,Rodentia,"Neiswenter, D. J. Hafner, Light, Cepeda, Kinzer, L. F. Alexander, & Riddle",2019,1,7,2,2.25527250510331,19,3,28,1,0,1,0,1,0,0,,0,7,4,3,14,34,5
Crocidura anhuiensis,Crocidura,Soricidae,Eulipotyphla,"Zhang, Zhang & Li, 2019",2019,0,3,1,,198,7,26,1,0,0,0,1,0,1,mtDNA,1,6,6,9,10,36,5
Crocidura caudipilosa,Crocidura,Soricidae,Eulipotyphla,"Esselstyn, Achmadi, Handika, Giarla, & Rowe, 2019",2019,0,5,3,,198,4,12,1,0,1,0,1,0,1,MultiLoci,9,69,7,7,8.25,28,6
Cryptotis eckerlini,Cryptotis,Soricidae,Eulipotyphla,"Woodman, 2019",2019,0,1,1,,51,4,50,1,0,0,0,1,0,0,,0,14,8,8,13,56,4
Cryptotis matsoni,Cryptotis,Soricidae,Eulipotyphla,"Woodman, 2019",2019,0,1,1,,51,4,50,1,0,0,0,1,0,0,,0,1,8,8,13,56,4
Cryptotis montecristo,Cryptotis,Soricidae,Eulipotyphla,"Woodman, 2019",2019,0,1,1,,51,4,50,1,0,0,0,1,0,0,,0,4,8,8,13,56,4
Eliurus tsingimbato,Eliurus,Nesomyidae,Rodentia,"Jansa, Carleton, Soarimalala, Rakotomalala, & Goodman",2019,1,5,2,2.07188200730613,12,4,18,1,0,1,0,1,0,0,,0,38,2,4,14.75,25,5
Eptesicus ulapesensis,Eptesicus,Vespertilionidae,Chiroptera,"R. T. SÃ¡nchez, Montani, Tomasco, M. M. DÃ­az, & Barquez",2019,0,5,2,1.02118929906994,22,4,12,1,0,1,0,1,0,1,MultiLoci,6,10,4,8,6.5,25,6
Geocapromys caymanensis,Geocapromys,Echimyidae,Rodentia,"Morgan, MacPhee, R. Woods, & Turvey",2019,0,4,2,,4,0,19,1,0,1,0,1,0,0,,0,137,5,3,49.3,22,4
Marmosops soinii,Marmosops,Didelphidae,Didelphimorphia,"Voss, Fleck, & Jansa, 2019",2019,0,3,1,,19,4,12,1,0,0,0,1,0,1,MultiLoci,2,25,1,1,3.53,20,5
Mico munduruku,Mico,Cebidae,Primates,"Costa-Araújo, de Melo, Canale, Hernández-Rangel, Messias, R. V. Rossi, F. E. Silva, M. N. F. Silva, Nash, Boubli, Farias, & Hrbek, 2019",2019,0,12,3,2.63848925695464,14,4,0,0,0,0,0,1,0,0,,0,6,14,4,8.25,5,2
Miniopterus nimbae,Miniopterus,Miniopteridae,Chiroptera,"Monadjem, Shapiro, L. R. Richards, Karabulut, Crawley, Neilsen, A. Hansen, K. Bohmann, & Mourier",2019,0,9,8,1.02118929906994,38,3,16,1,0,1,0,1,0,1,mtDNA,1,1,5,7,11,23,6
Monodelphis vossi,Monodelphis,Didelphidae,Didelphimorphia,"S. E. Pavan, 2019",2019,1,1,2,,23,5,14,1,0,0,0,1,0,1,MultiLoci,2,3,3,8,3.5,23,5
Myotis bakeri,Myotis,Vespertilionidae,Chiroptera,"Moratelli, Novaes, Bonilla, & D. E. Wilson",2019,0,4,3,0.662757831681574,130,5,16,1,0,1,0,1,0,0,,0,4,9,12,10,24,5
Myotis crypticus,Myotis,Vespertilionidae,Chiroptera,"Ruedi, Ibanez, Salicini, Juste, & Puechmaille in Juste, Ruedi, Puechmaille, Salicini, & Ibanez",2019,1,5,3,0.799340549453582,130,5,12,1,0,1,0,1,0,1,MultiLoci,4,21,3,5,10.75,24,6
Myotis zenatius,Myotis,Vespertilionidae,Chiroptera,"IbÃ¡Ã±ez, Juste, Salicini, Puechmaille, & Ruedi in Juste, Ruedi, Puechmaille, Salicini, & IbÃ¡Ã±ez",2019,1,5,3,,130,5,12,1,0,1,0,1,0,1,MultiLoci,4,6,3,4,10.75,24,6
Neodon nepalensis,Neodon,Cricetidae,Rodentia,"Pradhan, Sharma, Sherchan, Chhetri, Shrestha, & Kilpatrick",2019,0,6,2,,9,3,12,1,0,1,0,1,0,0,,0,5,2,2,4.9,18,5
Nesophontes hemicingulus,Nesophontes,Nesophontidae,Eulipotyphla,"Morgan, MacPhee, Woods, & Turvey, 2019",2019,0,4,2,,6,0,12,1,0,1,0,1,0,0,,0,75,5,0,48.2,15,4
Nycticeinops happoldorum,Nycticeinops,Vespertilionidae,Chiroptera,"Hutterer, Decher, Monadjem, & Astrin",2019,0,4,3,0.954242509439325,6,4,13,1,0,1,0,1,0,1,mtDNA,2,5,20,7,14.25,22,6
Nycticeinops macrocephalus,Nycticeinops,Vespertilionidae,Chiroptera,Hutterer & Kerbis Peterhans,2019,0,2,2,1.03742649794062,6,4,13,1,0,1,0,1,0,0,,0,2,4,4,6.25,20,5
Otomys willani,Otomys,Muridae,Rodentia,"P. J. Taylor, Kearney, Dalton, Chakona, Kelly, & Barker",2019,0,6,1,,29,3,8,1,0,1,0,1,0,1,mtDNA,1,11,4,5,13.81,15,6
Oxymycterus itapeby,Oxymycterus,Cricetidae,Rodentia,"Peçanha, Quintela, Jorge Ribas, Althoff, Maestri, G. L. Gonçalves, & Freitas, 2019",2019,0,7,2,1.76342799356294,15,5,20,1,0,0,0,1,0,1,MultiLoci,2,5,11,9,12,29,5
Peromyscus bakeri,Peromyscus,Cricetidae,Rodentia,"Álvarez-Castañeda, Lorenzo, Segura-Trujillo, & Pérez-Consuegra, 2019",2019,0,4,2,,78,4,19,1,0,0,0,1,0,1,mtDNA,1,,,3,5.5,26,5
Peromyscus carolpattonae,Peromyscus,Cricetidae,Rodentia,"Álvarez-Castañeda, Lorenzo, Segura-Trujillo, & Pérez-Consuegra, 2019",2019,0,4,2,,78,4,19,1,0,0,0,1,0,1,mtDNA,1,,,5,5.5,26,5
Plecturocebus grovesi,Plecturocebus,Pitheciidae,Primates,"Boubli, Byrne, M. N. F. Silva, Silva-Júnior, Costa Araújo, Bertuol, J. Gonçalves, de Melo, Rylands, Mittermeier, F. E. Silva, Nash, Canale, Alencar, R. V. Rossi, Carneiro, Sampaio, Farias, Schneider, & Hrbek, 2018",2019,0,20,3,,22,0,0,0,0,0,0,1,0,1,SNPs,2,6,9,16,15.75,3,2
Plecturocebus parecis,Plecturocebus,Pitheciidae,Primates,"Gusmão, Messias, Carneiro, Schneider, Alencar, Calouro, Dalponte, Mattos, Ferrari, Buss, Azevedo, E. M. Santos, Nash, Rylands, & Barnett, 2019",2019,0,15,2,,23,0,23,0,0,0,0,1,0,0,,0,4,9,16,11,24,2
Rhogeessa permutandis,Rhogeessa,Vespertilionidae,Chiroptera,"A. B. Baird, Light, & Bickham",2019,0,3,1,,13,3,15,1,0,1,0,1,0,1,mtDNA,1,8,8,3,7,22,6
Rhynchomys labo,Rhynchomys,Muridae,Rodentia,"Rickart, Balete, Timm, Alviola, Esselstyn, & Heaney, 2019",2019,0,6,2,2.20411998265592,5,4,27,1,0,0,0,1,0,0,,0,22,5,4,6.875,33,4
Rhynchomys mingan,Rhynchomys,Muridae,Rodentia,"Rickart, Balete, Timm, Alviola, Esselstyn, & Heaney, 2019",2019,0,6,2,2.20411998265592,5,4,27,1,0,0,0,1,0,0,,0,23,5,5,6.875,33,4
Sicista zhetysuica,Sicista,Sminthidae,Rodentia,"CserkÃ©sz, FÃ¼lÃ¶p, Almerekova, Kondor, LaczkÃ³, & SramkÃ³",2017,0,6,2,0.954242509439325,16,2,12,1,0,1,0,1,1,1,mtDNA,1,2,1,1,12.05,19,7
Sturnira giannae,Sturnira,Phyllostomidae,Chiroptera,"Velazco & B. D. Patterson, 2019",2019,0,2,1,1.40312052117582,23,5,13,1,0,0,0,1,0,0,,0,86,45,12,1.03,20,4
Tanyuromys thomasleei,Tanyuromys,Cricetidae,Rodentia,"Timm, Pine, & J. D. Hanson",2018,0,3,1,,1,3,19,1,0,1,0,1,0,1,mtDNA,1,3,1,1,7.6,26,6
Tarsius niemitzi,Tarsius,Tarsiidae,Primates,"Shekelle, Groves, Maryanto, Mittermeier, Salim, & Springer, 2019",2019,0,6,3,,11,12,17,1,0,0,0,1,0,1,mtDNA,1,5,,7,3.25,32,5
Thomasomys salazari,Thomasomys,Cricetidae,Rodentia,"Brito, Tinoco, Curay, Vargas, Reyes-Puig, Romero, & PardiÃ±as",2019,0,7,3,1.57978359661681,44,4,20,1,0,1,0,1,0,1,mtDNA,1,22,13,4,16.25,28,6
Anoura javieri,Anoura,Phyllostomidae,Chiroptera,"Pacheco, SÃ¡nchez-VendizÃº, & Solari",2018,0,3,2,1,9,4,13,1,0,1,0,1,0,0,,0,6,3,11,11,20,5
Callosciurus honkhoaiensis,Callosciurus,Sciuridae,Rodentia,"Nguyen Truong Son, Oshida, Phuong Huy Dang, Hai Tuan Bui, & Motokawa",2018,0,5,2,2.18184358794477,14,3,30,1,0,0,0,1,0,1,mtDNA,1,3,,10,8.75,36,5
Cryptotis evaristoi,Cryptotis,Soricidae,Eulipotyphla,"Zeballos, Pino, Medina, Pari, Chávez, Tinoco, & Ceballos, 2018",2018,0,7,5,1.07918124604762,48,4,20,1,0,0,0,1,0,1,mtDNA,1,17,6,5,17,27,5
Cynomops freemani,Cynomops,Molossidae,Chiroptera,"Moras, Gergorin, Sattler, & Tavares, 2018",2018,1,4,4,1.27875360095283,7,4,11,1,0,0,0,1,0,1,mtDNA,2,16,5,4,3.3333,19,5
Cynomops tonkigui,Cynomops,Molossidae,Chiroptera,"Moras, Gergorin, Sattler, & Tavares, 2018",2018,1,4,4,1.17026171539496,7,1,11,1,0,0,0,1,0,1,mtDNA,2,9,5,5,3.333,16,5
Halmaheramys wallacei,Halmaheramys,Muridae,Rodentia,"P.-H. Fabre, Reeve, Fitriana, K. P. Aplin, & K. M. Helgen",2017,0,5,5,,1,3,18,1,0,1,0,1,0,1,MultiLoci,4,4,23,12,11.25,28,6
Hipposideros kunzi,Hipposideros,Hipposideridae,Chiroptera,"S. W. Murray, Khan, Kingston, Zubaid, & Campbell",2018,0,5,2,0.812913356642856,66,3,22,1,0,1,0,1,0,0,,0,5,16,3,14,28,5
Kerivoula dongduongana,Kerivoula,Vespertilionidae,Chiroptera,"Vuong Tan Tu, Hassanin, Furey, Nguyen Truong Son, & Csorba",2018,0,5,4,0.653212513775344,27,1,17,1,0,0,0,1,0,1,MultiLoci,9,7,,13,3.25,29,5
Mesechinus wangi,Mesechinus,Erinaceidae,Eulipotyphla,"He, Jiang, & Ai, 2018",2018,1,3,2,2.65224634100332,3,5,12,1,0,0,0,0,0,0,,0,6,,3,2.25,18,3
Molossus fentoni,Molossus,Molossidae,Chiroptera,"Loureiro, B. K. Lim, & Engstrom",2018,0,3,1,,13,4,12,1,0,1,0,1,0,1,DNABarcode,2,5,11,10,7.25,21,6
Murina liboensis,Murina,Vespertilionidae,Chiroptera,"Zeng Xiang, Chen Jian, Deng Huaiqing, Xiao Ning, & Zhou Jiang",2018,0,5,1,0.653212513775344,38,5,18,1,0,1,0,1,0,1,mtDNA,1,5,2,2,4.75,27,6
Myotis ancricola,Myotis,Vespertilionidae,Chiroptera,"Kruskop, Borisenko, Dudorova, & Artyushin",2018,0,4,2,,127,7,19,1,0,1,0,1,0,1,DNABarcode,2,5,5,5,9,31,6
Neacomys macedoruizi,Neacomys,Cricetidae,Rodentia,"Sánchez-Vendizú, Pacheco, & Vivas-Ruiz, 2018",2018,1,3,1,,12,5,24,1,0,1,0,1,1,1,mtDNA,1,4,4,3,10.5,34,7
Neacomys rosalindae,Neacomys,Cricetidae,Rodentia,"Sánchez-Vendizú, Pacheco, & Vivas-Ruiz, 2018",2018,1,3,1,,12,5,24,1,0,1,0,1,1,1,mtDNA,1,75,4,5,10.5,34,7
Niviventer gladiusmaculus,Niviventer,Muridae,Rodentia,"Ge Deyan, Liu Liang, Xia Lin, Du Yuanbao, Wen Zhixin, Jilong Cheng, Abramov, & Yang Qisen",2018,1,8,3,1.73559889969818,22,3,16,1,0,1,0,1,0,1,mtDNA,4,27,7,0,18.5,26,6
Oligoryzomys pachecoi,Oligoryzomys,Cricetidae,Rodentia,Hurtado & D'ElÃ­a,2018,0,2,2,,21,4,13,1,0,1,0,1,0,0,,0,16,5,4,13,20,5
Palawanosorex muscorum,Palawanosorex,Soricidae,Eulipotyphla,"Hutterer, Balete, Giarla, Heaney, & Esselstyn, 2018",2018,0,5,2,1.34242268082221,0,6,22,1,0,1,1,1,0,1,MultiLoci,3,21,2,3,11.75,35,7
Perameles papillon,Perameles,Peramelidae,Peramelemorphia,"Travouillon & M. J. Phillips, 2018",2018,0,2,1,,8,3,67,1,0,0,0,1,0,1,MultiLoci,8,119,2,8,5.75,80,5
Philander pebas,Philander,Didelphidae,Didelphimorphia,"Voss, Díaz-Nieto, & Jansa, 2018",2018,1,3,1,,8,0,12,1,0,1,0,1,0,1,MultiLoci,4,58,7,5,17.08,19,5
Phyllomys centralis,Phyllomys,Echimyidae,Rodentia,"L. F. Machado, Loss, Paz, E. M. Vieira, Rodrigues, & Marinho-Filho, 2018",2018,0,6,1,2.53147891704226,13,4,48,1,0,0,0,1,1,1,MultiLoci,4,4,11,2,8,59,6
Pteronotus alitonus,Pteronotus,Mormoopidae,Chiroptera,"A. C. Pavan, Bobrowiec, & Percequillo, 2018",2018,0,3,2,,15,2,9,1,0,1,0,1,0,1,SNPs,1,82,2,2,8.5,15,6
Rhinolophus gorongosae,Rhinolophus,Rhinolophidae,Chiroptera,"P. J. Taylor, MacDonald, Goodman, Kearney, Cotterill, Stoffberg, Monadjem, Schoeman, Guyton, Naskrecki, & Richards",2018,0,11,4,0.707570176097936,,5,10,1,0,1,0,1,0,1,mtDNA,1,9,3,2,10,19,6
Talpa martinorum,Talpa,Talpidae,Eulipotyphla,"Kryštufek, Nedyalkov, Astrin, & Hutterer, 2018",2018,0,4,3,1.65321251377534,12,4,10,1,0,0,0,1,0,1,mtDNA,1,14,11,11,10,17,5
Tlacuatzin balsasensis,Tlacuatzin,Didelphidae,Didelphimorphia,"Arcangeli, Light, & Cervantes, 2018",2018,0,3,2,,4,4,13,1,0,0,0,1,0,1,MultiLoci,2,24,9,0,2.7,21,5
Toromys albiventris,Toromys,Echimyidae,Rodentia,L. H. Emmons & P.-H. Fabre,2018,1,2,2,2.4983105537896,2,3,18,1,0,1,0,1,0,1,Mitogenome,0,2,6,1,39.5,24,6
Alexandromys alpinus,Alexandromys,Cricetidae,Rodentia,"Lissovsky, Yatsentyuk, Petrova, & Abramson in Lissovsky, Petrova, Yatsentyuk, Golenishchev, Putincev, Kartavtseva, Sheremetyeva, & Abramson",2017,0,4,1,,12,0,0,0,0,0,0,0,0,1,MultiLoci,4,2,,3,7.55,4,1
Cassistrellus yokdonensis,Cassistrellus,Vespertilionidae,Chiroptera,"Ruedi, Eger, B. K. Lim, & Csorba",2017,0,4,3,0.845098040014257,1,5,17,1,0,1,0,1,0,1,MultiLoci,3,2,31,1,7.5,28,6
Cheirogaleus grovesi,Cheirogaleus,Cheirogaleidae,Primates,"McLain, Lei Runhua, Frasier, J. M. Taylor, C. A. Bailey, B. A. Robertson, Nash, Randriamanana, Mittermeier, & Louis, 2017",2017,0,10,2,2.60638136511061,9,3,0,0,0,0,0,1,0,1,mtDNA,15,6,,5,4.25,19,3
Chimaerodipus auritus,Chimaerodipus,Dipodidae,Rodentia,"Shenbrot, Bannikova, Giraudoux, QuÃ©rÃ©, Raoul, & Lebedev",2017,0,6,3,,0,3,13,1,0,1,0,0,0,1,MultiLoci,5,9,2,9,9.2,23,5
